@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
191,3854,187,5845,5016,0.538164,0.953724,0.397361,0.953724,0.602639,0.56099,0.650852,1.465347,0.057
192,3854,187,5843,5018,0.53798,0.953724,0.397443,0.953724,0.602557,0.561071,0.650718,1.465649,0.057667
193,3854,187,5842,5019,0.537888,0.953724,0.397483,0.953724,0.602517,0.561112,0.650651,1.4658,0.058
194,3849,192,5776,5085,0.531811,0.952487,0.399896,0.952487,0.600104,0.563296,0.645886,1.474697,0.058333
195,3849,192,5775,5086,0.531719,0.952487,0.399938,0.952487,0.600062,0.563337,0.645819,1.474851,0.058667
196,3849,192,5774,5087,0.531627,0.952487,0.399979,0.952487,0.600021,0.563378,0.645752,1.475004,0.0588
197,3849,192,5773,5088,0.531535,0.952487,0.400021,0.952487,0.599979,0.563419,0.645685,1.475157,0.059333
198,3848,193,5773,5088,0.531535,0.95224,0.399958,0.95224,0.600042,0.563314,0.645618,1.474927,0.059333
199,3848,193,5772,5089,0.531443,0.95224,0.4,0.95224,0.6,0.563356,0.645551,1.47508,0.059667
200,3848,193,5770,5091,0.531259,0.95224,0.400083,0.95224,0.599917,0.563438,0.645417,1.475387,0.059967
201,3848,193,5769,5092,0.531167,0.95224,0.400125,0.95224,0.599875,0.563479,0.64535,1.475541,0.06
202,3844,197,5704,5157,0.525182,0.95125,0.402597,0.95125,0.597403,0.565752,0.640719,1.484659,0.06
203,3844,197,5703,5158,0.52509,0.95125,0.40264,0.95125,0.59736,0.565793,0.640652,1.484814,0.060333
204,3844,197,5702,5159,0.524998,0.95125,0.402682,0.95125,0.597318,0.565835,0.640585,1.48497,0.0605
205,3843,198,5702,5159,0.524998,0.951002,0.402619,0.951002,0.597381,0.565729,0.640518,1.484739,0.061333
206,3843,198,5701,5160,0.524906,0.951002,0.402661,0.951002,0.597339,0.565771,0.640451,1.484895,0.061667
207,3843,198,5700,5161,0.524814,0.951002,0.402704,0.951002,0.597296,0.565813,0.640384,1.48505,0.062
208,3838,203,5634,5227,0.518737,0.949765,0.405194,0.949765,0.594806,0.568046,0.635619,1.494235,0.062333
209,3838,203,5633,5228,0.518645,0.949765,0.405237,0.949765,0.594763,0.568088,0.635552,1.494393,0.0625
210,3836,205,5633,5228,0.518645,0.94927,0.405111,0.94927,0.594889,0.567876,0.635418,1.49393,0.062667
211,3836,205,5632,5229,0.518553,0.94927,0.405154,0.94927,0.594846,0.567918,0.635351,1.494088,0.062933
212,3836,205,5631,5230,0.518461,0.94927,0.405197,0.94927,0.594803,0.56796,0.635284,1.494245,0.063
